range, ranging_attempt_count
0.57,23
0.59,23
0.59,23
0.59,78
0.57,0
0.58,134
0.56,78
0.57,23
0.58,23
0.55,0
0.58,0
0.55,0
0.59,0
0.57,0
0.55,0
0.60,0
0.56,0
0.56,0
0.58,0
0.56,0
0.59,0
0.58,0
0.57,0
0.54,0
0.59,0
0.56,0
0.58,0
0.60,0
0.55,0
0.54,0
0.55,0
0.58,0
0.59,0
0.58,0
0.58,0
0.56,244
0.61,244
0.57,1075
0.59,854
0.60,0
0.60,383
0.61,300
0.58,51
0.59,51
0.60,134
0.57,50
0.60,438
0.61,51
0.61,23
0.58,51
0.59,134
0.56,161
0.58,0
0.59,23
0.58,134
0.54,217
0.58,161
0.57,23
0.59,78
0.59,494
0.58,51
0.58,0
0.55,0
0.59,0
0.60,0
0.58,0
0.58,0
0.60,0
0.59,0
0.60,0
0.57,0
0.57,0
0.62,0
0.58,0
0.57,0
0.56,0
0.56,0
0.56,0
0.57,0
0.60,0
0.57,0
0.58,0
0.56,0
0.56,0
0.55,0
0.56,0
0.57,0
0.59,0
0.58,0
0.61,0
0.58,0
0.58,0
0.55,0
0.61,0
0.55,0
0.55,0
0.56,0
0.56,0
0.57,0
0.53,0
0.58,0
0.60,0
0.58,0
0.57,0
0.60,0
0.59,0
0.60,0
0.59,0
0.55,0
0.58,134
0.56,23
0.57,50
0.60,23
0.56,78
0.55,0
0.57,0
0.59,0
0.57,0
0.57,0
0.56,0
0.61,0
0.60,0
0.58,0
0.57,0
0.56,0
0.59,23
0.57,134
0.57,0
0.57,78
0.61,51
0.57,0
0.57,23
0.56,78
0.54,23
0.57,23
0.54,23
0.58,78
0.57,23
0.56,0
0.56,0
0.57,0
0.56,0
0.56,0
0.58,0
0.56,0
0.58,0
0.58,0
0.57,0
0.57,0
0.56,0
0.55,106
0.57,51
0.57,23
0.60,23
0.55,134
0.56,0
0.55,134
0.59,0
0.54,134
0.59,0
0.58,134
0.58,0
0.55,106
0.54,0
0.56,23
0.59,23
0.58,23
0.54,23
0.56,106
0.56,0
0.60,134
0.60,0
0.60,23
0.57,0
0.61,23
0.59,0
0.57,134
0.58,23
0.54,23
0.56,245
0.58,23
0.59,78
0.58,0
0.57,0
0.57,0
0.55,0
0.58,0
0.54,0
0.58,0
0.58,0
0.56,0
0.60,0
0.56,0
0.60,106
0.57,189
0.56,106
0.56,23
0.56,189
0.55,134
0.58,106
0.55,273
0.57,134
0.55,0
0.62,0
0.56,0
0.57,0
0.57,23
0.59,78
0.56,550
0.57,106
0.57,134
0.59,356
0.58,189
0.56,522
0.57,300
0.55,134
0.56,23
0.56,78
0.60,23
0.59,300
0.58,189
0.61,78
0.59,78
0.62,134
0.56,78
0.59,23
0.56,23
0.60,78
0.58,23
0.55,51
0.57,78
0.60,106
0.60,23
0.56,134
0.58,51
0.58,23
0.57,23
0.57,51
0.57,0
0.60,0
0.55,106
0.57,23
0.57,23
0.61,0
0.61,78
0.58,134
0.57,0
0.57,78
0.56,23
0.56,134
0.57,134
0.58,134
0.60,23
0.54,0
0.58,189
0.57,23
0.56,23
0.57,0
0.61,273
0.57,23
0.57,23
0.62,78
0.56,106
0.57,23
0.57,23
0.56,23
0.62,78
0.58,106
0.58,23
0.57,23
0.57,189
0.62,134
0.59,217
0.59,0
0.59,78
0.58,78
0.55,23
0.56,23
0.57,161
0.56,0
0.60,327
0.58,355
0.57,0
0.55,106
0.57,50
0.56,50
0.57,50
0.57,244
0.60,0
0.56,106
0.62,0
0.57,0
0.55,0
0.59,0
0.55,0
0.56,0
0.59,0
0.58,0
0.58,0
0.57,0
0.56,0
0.56,0
0.60,0
0.61,0
0.60,0
0.57,0
0.57,0
0.55,0
0.62,0
0.60,0
0.60,0
0.60,0
0.60,0
0.59,0
0.58,0
0.55,0
0.57,0
0.56,0
0.57,0
0.57,0
0.59,0
0.56,0
0.58,0
0.60,0
0.60,0
0.60,0
0.58,0
0.53,0
0.62,0
0.57,0
0.57,0
0.57,0
0.56,0
0.57,0
0.57,0
0.61,0
0.59,0
0.56,0
0.57,0
0.59,0
0.58,0
0.57,0
0.57,0
0.55,0
0.57,0
0.58,0
0.58,0
0.56,0
0.57,0
0.56,0
0.62,0
0.57,0
0.64,0
0.55,0
0.56,0
0.55,0
0.54,0
0.59,0
0.60,0
0.57,0
0.56,0
0.57,0
0.59,133
0.60,0
0.60,23
0.59,0
0.57,23
0.58,23
0.58,23
0.59,0
0.58,0
0.56,23
0.58,0
0.58,0
0.58,0
0.62,0
0.57,0
0.54,0
0.56,0
0.58,0
0.59,245
0.59,0
0.58,106
0.60,0
0.58,0
0.56,0
0.57,0
0.56,0
0.59,0
0.56,0
0.59,23
0.55,78
0.61,106
0.60,51
0.58,78
0.57,23
0.55,78
0.58,106
0.56,23
0.63,106
0.56,23
0.54,0
0.55,0
0.57,23
0.61,23
0.60,0
0.60,23
0.56,134
0.62,78
0.56,23
0.56,78
0.57,134
0.59,0
0.56,23
0.58,134
0.56,23
0.58,23
0.56,78
0.58,106
0.57,23
0.57,51
0.58,0
0.56,51
0.56,0
0.56,51
0.57,134
0.58,51
0.58,23
0.56,134
0.57,23
0.56,78
0.58,0
0.56,23
0.55,78
0.55,106
0.58,189
0.57,23
0.58,189
0.57,0
0.53,134
0.59,78
0.59,134
0.55,134
0.57,134
0.55,78
0.58,217
0.59,411
0.57,78
0.57,78
