range,ranging_attempt_count,ranging_time_millisecond
2.54,2083,2144
4.47,211,218
2.62,209,216
2.66,749,772
2.69,157,163
3.46,429,443
2.76,265,274
3.55,427,440
2.99,161,167
3.30,51,54
3.10,427,440
3.46,319,329
3.46,104,108
2.65,373,385
3.25,105,109
3.20,266,275
2.73,481,496
3.03,49,52
3.43,373,385
3.05,159,164
3.34,158,164
2.64,50,53
4.61,49,52
3.63,50,53
3.22,374,386
3.18,589,607
3.14,49,52
2.59,266,275
3.01,212,219
2.72,373,385
2.67,158,163
2.99,158,164
3.38,158,164
3.04,481,496
4.28,49,52
3.04,212,219
2.84,50,53
3.42,373,385
3.44,51,53
3.54,373,385
3.15,482,497
2.93,158,164
3.11,158,164
3.27,427,440
3.25,320,330
2.67,589,607
3.10,49,52
3.59,158,164
3.40,266,275
3.08,427,440
2.85,374,386
3.15,49,52
3.46,373,385
3.39,482,497
3.35,158,164
3.34,50,53
3.30,265,274
3.20,320,330
2.69,158,164
3.09,266,275
2.79,1020,1050
2.64,158,164
2.72,807,830
3.13,753,774
3.15,50,53
4.57,49,52
3.27,51,54
3.41,50,53
3.00,320,330
3.46,104,108
3.55,104,108
3.49,157,162
3.58,158,163
3.41,212,219
3.07,536,551
3.48,50,53
3.47,591,608
3.50,50,53
3.42,49,52
3.33,50,53
3.51,591,608
3.56,158,164
3.52,861,884
3.51,104,108
3.36,158,163
3.31,104,108
3.03,103,107
3.39,482,496
3.27,104,108
3.33,50,53
3.35,158,163
3.46,158,164
3.38,49,52
2.78,158,164
3.17,483,497
3.34,158,163
3.40,1132,1162
3.09,319,329
3.43,50,53
4.59,104,108
3.21,50,53
3.43,482,496
3.40,50,53
3.44,104,108
2.75,50,53
3.47,158,164
3.10,158,163
3.17,320,330
4.26,374,385
3.67,158,164
2.74,50,53
3.09,212,219
3.08,50,53
3.42,428,440
3.37,375,386
3.19,103,107
3.31,319,329
3.24,104,108
3.08,50,53
3.16,212,219
3.21,483,497
3.10,321,331
3.19,320,330
3.44,50,53
3.08,212,219
3.04,375,386
3.33,49,52
3.06,104,108
3.28,320,330
3.18,158,164
3.27,482,496
3.28,158,164
3.24,320,330
3.26,50,53
3.19,104,108
3.34,49,52
3.23,104,108
3.21,482,496
3.09,50,53
3.26,158,164
3.04,50,53
3.30,212,219
3.07,321,331
3.40,50,53
3.30,374,385
3.07,212,219
3.43,158,163
3.76,50,53
2.71,50,53
2.85,50,53
3.15,50,53
3.29,1023,1051
3.36,50,53
3.43,104,108
3.40,50,53
3.40,50,53
3.32,158,163
3.23,104,108
2.83,103,107
2.77,50,53
3.20,50,53
3.37,50,53
3.33,320,330
3.28,591,608
3.16,49,52
3.30,50,53
3.32,481,495
3.32,212,219
3.39,157,162
3.40,50,53
3.36,158,163
3.39,49,52
3.39,50,53
3.36,50,53
3.36,50,53
3.33,158,164
2.98,103,107
4.58,49,52
3.40,50,53
2.93,104,108
3.35,374,385
3.42,103,107
3.38,49,52
3.42,104,108
3.45,103,107
3.42,157,162
3.45,104,108
3.42,211,218
2.98,50,53
3.46,50,53
3.40,104,108
3.13,319,329
3.37,590,607
3.37,320,330
3.34,49,52
3.46,536,551
3.43,50,53
3.42,428,440
3.50,103,107
3.48,1939,1990
3.48,482,496
3.45,50,53
3.31,50,53
3.14,49,52
3.47,50,53
3.42,212,219
3.07,320,330
3.04,50,53
3.41,320,330
3.47,374,385
3.44,157,162
3.45,374,385
3.45,535,550
3.46,805,827
3.46,103,107
4.25,211,218
3.01,105,109
3.44,103,107
3.42,319,329
3.36,50,53
3.12,50,53
3.39,158,164
3.39,535,550
3.08,50,53
3.38,104,108
3.14,157,162
4.58,103,107
3.34,320,330
3.31,535,550
3.34,158,164
3.34,535,550
3.10,50,53
3.13,50,53
3.43,211,218
3.29,51,54
2.88,49,52
3.26,50,53
3.08,320,330
3.20,50,53
3.31,50,53
4.41,103,107
