range, ranging_attempt_count
2.86,106
2.85,162
2.85,134
2.87,162
2.83,300
2.85,134
2.86,0
2.82,0
2.86,0
2.83,0
2.84,0
2.87,0
2.84,0
2.84,0
2.85,0
2.84,0
2.88,0
2.88,0
2.85,0
2.89,0
2.83,0
2.87,0
2.87,0
2.87,0
2.84,0
2.86,0
2.85,0
2.85,0
2.85,0
2.88,0
2.87,0
2.86,0
2.89,0
2.86,0
2.85,0
2.89,0
2.86,0
2.85,0
2.86,0
2.88,0
2.83,0
2.88,0
2.89,0
2.87,0
2.85,0
2.88,0
2.88,0
2.84,0
2.89,0
2.84,0
2.84,0
2.83,0
2.85,0
2.84,0
2.90,0
2.86,0
2.84,0
2.87,0
2.85,0
2.84,0
2.84,0
2.84,0
2.83,0
2.84,0
2.85,0
2.88,0
2.83,0
2.87,0
2.84,0
2.84,134
2.88,78
2.85,0
2.85,0
2.88,51
2.89,0
2.87,106
2.85,0
2.85,23
2.85,78
2.86,0
2.86,0
2.89,78
2.85,106
2.84,23
2.82,50
2.87,78
2.90,23
2.86,0
2.87,23
2.88,0
2.91,23
2.87,23
2.82,23
2.89,0
2.85,134
2.80,78
2.84,23
2.83,0
2.84,23
2.88,51
2.85,23
2.85,0
2.84,0
2.87,106
2.86,0
2.86,161
2.91,0
2.86,189
2.87,50
2.86,0
2.82,327
2.84,244
2.86,272
2.85,23
2.86,216
2.88,327
2.88,438
2.87,0
2.85,189
2.84,50
2.87,244
2.90,23
2.85,189
2.90,134
2.86,0
2.84,106
2.89,50
2.87,161
2.86,23
2.84,134
2.85,0
2.89,410
2.86,771
2.83,161
2.89,604
2.89,51
2.89,78
2.83,438
2.84,826
2.84,78
2.85,133
2.84,134
2.85,244
2.83,521
2.82,300
2.82,244
2.86,217
2.82,0
2.82,161
2.82,78
2.81,244
2.85,134
2.83,78
2.83,0
2.83,0
2.86,0
2.88,0
2.84,0
2.84,0
2.82,0
2.82,0
2.83,0
2.87,0
2.85,0
2.83,0
2.83,0
2.82,0
2.86,0
2.82,0
2.82,0
2.82,0
2.85,0
2.83,0
2.83,0
2.82,0
2.85,0
2.85,0
2.84,0
2.86,0
2.82,0
2.85,0
2.87,0
2.84,0
2.82,0
2.86,0
2.86,0
2.84,0
2.83,23
2.86,161
2.83,0
2.82,0
2.83,0
2.85,0
2.83,0
2.85,23
2.88,0
2.84,0
2.86,0
2.90,0
2.87,0
2.87,0
2.87,0
2.86,0
2.84,0
2.89,0
2.83,300
2.86,0
2.86,0
2.88,0
2.85,0
2.84,0
2.85,0
2.86,0
2.88,0
2.87,0
2.85,0
2.86,0
2.86,0
2.85,0
2.85,0
2.85,0
2.84,0
2.88,0
2.88,0
2.87,0
2.84,0
2.88,0
2.87,0
2.87,0
2.86,0
2.88,0
2.89,0
2.85,0
2.87,0
2.85,0
2.84,51
2.85,23
2.85,0
2.87,0
2.84,0
2.88,0
2.84,0
2.83,0
2.85,0
2.85,0
2.84,0
2.83,0
2.87,0
2.85,0
2.82,0
2.86,0
2.88,0
2.87,0
2.86,0
2.88,0
2.84,0
2.84,0
2.87,0
2.85,0
2.90,0
2.86,0
2.84,0
2.85,0
2.87,0
2.85,0
2.85,0
2.92,0
2.81,0
2.84,51
2.91,51
2.88,0
2.91,0
2.87,51
2.88,189
2.78,78
2.87,0
2.84,50
2.86,161
2.87,0
2.83,0
2.86,23
2.88,106
2.85,245
