range, ranging_attempt_count
2.62,408
2.61,21
2.61,21
2.58,242
2.60,21
2.62,132
2.65,21
2.62,21
2.65,21
2.63,21
2.61,48
2.60,104
2.63,21
2.63,21
2.64,21
2.64,21
2.60,21
2.62,49
2.62,103
2.65,21
2.63,77
2.62,21
2.60,76
2.60,243
2.64,48
2.64,21
2.62,21
2.61,21
2.61,21
2.66,49
2.62,76
2.63,159
2.66,21
2.62,270
2.62,49
2.62,76
2.66,21
2.63,21
2.63,49
2.62,104
2.62,21
2.64,187
2.65,104
2.59,21
2.62,21
2.62,21
2.62,21
2.65,131
2.63,21
2.62,49
2.66,21
2.64,132
2.53,20
2.60,21
2.62,49
2.62,49
2.62,21
2.63,48
2.65,21
2.61,132
2.66,21
2.65,21
2.60,21
2.63,187
2.64,49
2.66,271
2.61,21
2.60,21
2.61,104
2.60,49
2.65,48
2.61,132
2.59,160
2.61,104
2.60,77
2.63,159
2.63,49
2.62,49
2.64,21
2.63,48
2.64,21
2.60,21
2.60,21
2.63,160
2.65,21
2.66,21
2.62,21
2.61,132
2.63,49
2.65,48
2.61,49
2.60,76
2.64,49
2.61,49
2.65,132
2.59,104
2.63,21
2.66,21
2.60,21
2.65,132
2.62,49
2.63,159
2.60,49
2.62,104
2.66,21
2.63,21
2.60,187
2.60,21
2.61,21
2.61,77
2.64,49
2.62,48
2.61,299
2.60,159
2.66,49
2.66,160
2.62,104
2.63,21
2.64,21
2.63,160
2.58,20
2.67,22
2.62,20
2.66,21
2.61,21
2.62,105
2.62,48
2.62,49
2.65,21
2.59,21
2.66,243
2.62,21
2.64,21
2.59,132
2.62,21
2.61,187
2.59,132
2.62,21
2.63,21
2.65,49
2.65,104
2.66,132
2.61,49
2.61,48
2.62,49
2.60,132
2.63,49
2.62,243
2.61,48
2.59,299
2.63,187
2.61,49
2.60,104
2.62,104
2.54,104
2.66,21
2.62,49
2.63,49
2.62,49
2.60,132
2.61,48
2.61,49
2.63,49
2.62,187
2.62,354
2.63,76
2.61,104
2.63,49
2.62,21
2.62,21
2.66,21
2.61,77
2.64,48
2.64,49
2.61,21
2.61,21
2.63,132
2.62,49
2.62,159
2.62,160
2.65,160
2.64,409
2.63,49
2.62,104
2.61,187
2.60,49
2.64,160
2.65,104
2.61,132
2.64,104
2.64,132
2.62,49
2.61,21
2.64,159
2.65,21
2.61,49
2.62,49
2.65,48
2.63,160
2.62,49
2.61,104
2.66,21
2.63,21
2.64,49
2.62,104
2.64,21
2.65,21
2.61,21
2.62,76
2.64,49
2.62,104
2.63,21
2.62,160
2.60,104
2.61,76
2.63,132
2.61,21
2.64,21
2.62,21
2.60,132
2.61,21
2.62,48
2.61,21
2.62,76
2.61,21
2.62,131
2.60,21
2.62,21
2.64,21
2.61,104
2.61,21
2.65,21
2.63,298
2.51,20
2.65,49
2.63,49
2.66,104
2.64,215
2.64,21
2.62,21
2.63,20
2.60,49
2.65,49
2.65,76
2.62,21
2.61,21
2.66,49
2.62,20
2.66,160
2.65,21
2.61,21
2.60,76
2.62,21
2.66,21
2.63,21
2.61,21
2.61,104
2.63,76
2.61,21
2.62,21
2.62,49
2.61,76
2.63,21
2.62,104
2.60,21
2.62,159
2.66,326
2.65,104
2.64,21
2.65,48
2.63,21
2.64,21
2.61,21
2.62,49
2.62,21
2.63,21
2.64,76
2.62,270
2.65,49
2.64,104
2.66,21
2.62,21
2.63,21
2.60,104
2.62,21
2.62,21
2.61,48
2.60,104
2.61,49
2.63,21
2.65,159
2.65,132
2.64,104
2.63,76
2.64,21
2.67,21
2.61,215
2.62,21
2.61,21
2.63,270
2.64,21
2.63,21
2.62,21
2.66,48
2.66,77
2.62,76
2.62,21
2.62,104
2.63,48
2.61,215
2.61,215
2.61,21
2.64,104
2.65,21
2.60,104
2.61,76
2.62,21
2.65,21
2.62,49
2.64,49
2.64,131
2.60,105
2.63,159
2.61,77
2.62,104
2.61,21
2.60,21
2.61,160
2.60,20
2.63,21
2.62,21
2.65,21
2.61,105
2.60,48
2.64,21
2.62,21
2.66,21
2.62,21
2.64,21
2.64,21
2.58,77
2.64,48
2.62,49
2.67,21
2.63,132
2.61,49
2.60,21
2.61,132
2.66,104
2.62,187
2.66,77
2.60,104
2.61,48
2.65,49
2.63,49
2.61,49
2.62,21
2.61,21
2.62,48
2.65,49
2.60,49
2.62,76
2.64,21
2.62,243
2.65,21
2.63,49
2.62,48
2.65,49
2.61,21
2.60,21
2.62,49
2.62,49
2.63,48
2.64,49
2.64,104
2.64,188
2.62,21
2.60,21
2.63,132
2.61,48
2.55,104
2.58,49
2.63,49
2.61,21
2.63,21
2.63,271
2.64,21
2.60,132
2.60,20
2.62,105
2.62,132
2.64,21
2.64,104
2.61,21
2.61,76
2.60,49
2.62,354
2.64,21
2.61,21
2.62,21
2.61,21
2.63,132
2.61,20
2.64,21
2.60,21
2.62,21
2.62,77
2.62,49
2.60,48
2.67,21
2.63,21
2.62,77
2.60,48
2.61,49
2.60,132
2.61,299
2.64,48
2.60,49
2.65,49
2.64,76
2.63,271
2.59,49
2.62,48
2.66,49
2.61,104
2.62,77
2.62,243
2.62,48
2.62,132
2.65,49
2.63,49
2.64,49
2.66,76
2.62,21
2.64,49
2.61,21
2.66,104
2.61,21
2.66,132
2.58,48
2.62,22
2.66,131
2.64,49
2.60,187
2.60,133
2.61,20
2.60,21
2.64,21
2.62,21
2.63,77
2.62,49
2.64,48
2.61,21
2.64,21
2.66,160
2.62,49
2.61,104
2.64,49
2.60,104
2.61,21
2.63,21
2.61,21
2.65,21
2.63,21
2.63,159
2.63,21
2.65,49
2.60,21
2.62,243
2.61,160
2.66,21
2.63,187
2.60,21
2.65,21
2.61,21
2.67,131
2.63,187
2.61,49
2.57,20
2.63,49
2.60,159
2.63,49
2.65,21
2.63,21
2.62,21
2.64,21
2.64,48
2.63,132
2.66,21
2.63,104
2.65,21
2.62,215
2.60,20
2.60,49
2.61,49
2.64,381
2.62,270
2.62,104
2.60,21
2.64,21
2.63,104
2.61,21
2.61,48
2.62,21
2.63,49
2.61,104
2.65,49
2.62,20
2.62,21
2.65,77
2.65,21
2.62,21
2.63,48
2.60,104
2.60,21
2.62,21
2.65,49
2.65,21
2.64,76
2.62,160
2.59,21
2.59,48
2.60,21
2.64,243
2.59,48
2.63,49
2.63,132
2.61,325
2.60,21
2.65,49
2.64,325
2.60,21
2.63,49
2.63,49
2.63,76
2.61,21
2.60,21
2.65,21
2.62,21
2.64,76
2.63,21
2.65,21
2.61,21
2.64,21
2.60,21
2.63,76
2.64,76
2.62,21
2.64,21
2.62,21
2.65,49
2.62,21
2.65,104
2.63,21
2.63,159
2.65,243
2.61,159
2.66,21
2.61,21
2.61,21
2.62,21
2.65,76
2.65,49
2.62,21
2.61,21
2.64,21
2.64,21
2.64,131
2.61,49
2.62,21
2.63,21
2.61,21
2.65,76
2.64,49
2.66,21
2.62,49
2.63,104
2.62,21
2.63,243
2.67,132
2.60,104
2.63,48
2.62,21
2.61,21
2.67,49
2.62,49
2.63,49
2.61,76
2.61,21
2.62,21
2.65,76
2.63,49
2.63,76
2.67,105
2.64,48
2.62,49
2.60,21
2.62,49
2.63,21
2.61,49
2.64,131
2.65,21
2.61,21
2.61,49
2.63,49
2.62,104
2.66,21
2.64,21
2.65,21
2.60,21
2.65,160
2.63,21
2.61,104
2.59,48
2.65,49
2.66,299
2.64,104
2.60,21
2.62,48
2.61,49
2.59,271
2.60,21
2.66,21
2.65,104
2.65,21
2.50,48
2.65,22
2.64,20
2.63,21
2.60,21
2.64,160
2.65,132
2.62,49
2.64,104
2.60,132
2.61,49
2.64,215
2.62,104
2.62,104
2.64,49
2.58,48
2.63,77
2.61,160
2.65,104
2.62,21
2.65,21
2.60,104
2.61,77
2.64,20
2.60,21
2.63,21
2.63,49
2.65,49
2.64,48
2.61,49
2.63,21
2.61,21
2.63,21
2.62,21
2.64,49
2.64,21
2.63,48
2.64,49
2.63,21
2.64,21
2.61,21
2.63,49
2.64,76
2.62,49
2.61,20
2.61,49
2.67,49
2.60,21
2.55,48
2.62,22
2.60,326
2.65,21
2.64,76
2.65,49
2.63,21
2.61,49
2.66,48
2.61,21
2.66,21
2.62,21
2.61,49
2.59,49
2.63,48
2.63,132
2.59,49
2.61,49
2.61,104
2.65,21
2.65,49
2.64,104
2.60,21
2.61,21
2.64,21
2.62,76
2.61,49
2.61,49
2.63,21
2.62,48
2.62,21
2.60,77
2.61,49
2.63,48
2.60,21
2.64,410
2.61,48
2.61,21
2.59,132
2.63,77
2.62,76
2.61,21
2.62,21
2.65,21
2.61,49
2.61,48
2.66,49
2.59,160
2.63,49
2.66,48
2.61,132
2.63,49
2.64,49
2.65,104
2.65,21
2.60,21
2.64,131
2.65,21
2.63,21
2.61,21
2.65,104
2.61,48
2.62,215
2.62,159
2.60,21
2.64,76
2.61,132
2.63,519
2.60,49
2.60,21
2.61,21
2.60,131
2.65,132
2.66,21
2.63,21
2.62,21
2.62,21
2.62,104
2.63,21
2.67,21
2.63,21
2.61,21
2.63,159
2.61,21
2.61,21
2.66,21
2.62,132
2.63,48
2.63,104
2.61,21
2.62,21
2.65,21
2.65,76
2.65,215
2.63,104
2.60,21
2.64,21
2.63,104
2.63,76
2.63,21
2.60,21
2.65,21
2.64,21
2.64,104
2.61,187
2.66,21
2.62,21
2.65,242
2.64,21
2.61,243
2.61,104
2.61,76
2.63,21
2.63,21
2.66,21
2.65,215
2.63,48
2.61,49
2.65,21
2.61,21
2.60,103
2.62,21
2.65,21
2.63,49
2.64,21
2.62,104
2.62,104
2.62,76
2.62,21
2.63,21
2.60,21
2.65,132
2.64,298
2.60,21
2.63,20
2.61,21
2.63,77
2.61,48
2.62,49
2.67,49
2.61,21
2.63,76
2.61,21
2.63,104
2.63,187
2.64,21
2.64,104
2.63,21
2.62,21
2.65,21
2.62,21
2.62,48
2.61,132
2.67,21
2.65,104
2.61,21
2.65,76
2.61,49
2.62,49
2.65,21
2.60,21
2.64,21
2.62,21
2.62,21
2.64,20
2.66,160
2.60,21
2.64,21
2.64,21
2.66,160
2.63,21
2.60,20
2.64,49
2.61,77
2.63,48
2.63,49
2.63,21
2.61,21
2.66,49
2.62,104
2.61,104
2.63,21
2.60,21
2.60,354
2.62,49
2.66,76
2.65,49
2.61,49
2.62,104
2.63,21
2.63,21
2.60,21
2.62,132
2.62,76
2.60,76
2.65,49
2.62,132
2.62,21
2.65,21
2.63,21
2.60,49
2.66,271
2.60,48
2.66,188
2.61,104
2.65,21
2.65,21
2.62,21
2.61,21
2.65,160
2.66,21
2.62,104
2.61,48
2.63,49
2.61,49
2.62,21
2.65,104
2.62,49
2.63,243
2.63,48
2.62,160
2.62,160
2.65,21
2.65,21
2.63,21
2.54,20
2.61,133
2.64,215
2.60,104
2.59,48
