range,ranging_attempt_count
2.47,243
2.48,76
2.51,21
2.49,21
2.47,49
2.48,21
2.50,76
2.50,243
2.50,76
2.48,21
2.46,21
2.51,298
2.48,380
2.53,132
2.53,21
2.48,21
2.49,104
2.51,21
2.48,21
2.51,21
2.51,132
2.52,48
2.50,21
2.49,21
2.50,132
2.48,159
2.51,21
2.48,21
2.52,21
2.49,21
2.46,76
2.50,132
2.56,21
2.52,21
2.50,131
2.54,21
2.52,21
2.49,77
2.53,76
2.49,159
2.50,21
2.51,49
2.46,270
2.51,187
2.49,132
2.48,521
2.48,242
2.48,49
2.48,271
2.49,48
2.48,132
2.48,382
2.51,48
2.46,21
2.47,21
2.50,21
2.48,105
2.46,48
2.47,160
2.46,49
2.50,76
2.47,49
2.49,21
2.47,49
2.48,104
2.51,21
2.50,21
2.54,76
2.48,21
2.46,105
2.46,21
2.51,132
2.46,131
2.48,188
2.46,21
2.48,48
2.50,21
2.47,21
2.47,243
2.50,21
2.47,49
2.51,49
2.48,76
2.46,49
2.51,21
2.46,21
2.52,76
2.50,271
2.50,49
2.51,132
2.46,48
2.51,105
2.50,21
2.47,326
2.49,104
2.51,49
2.50,714
2.48,798
2.47,48
2.48,21
2.50,104
2.51,49
2.49,243
2.51,104
2.46,21
2.48,132
2.51,104
2.48,21
2.49,77
2.51,104
2.51,21
2.51,132
2.48,104
2.49,132
2.48,187
2.50,21
2.46,77
2.46,49
2.50,159
2.46,326
2.53,49
2.49,187
2.50,188
2.47,326
2.51,187
2.50,21
2.48,160
2.50,215
2.48,21
2.50,104
2.51,160
2.47,520
2.47,215
2.48,21
2.52,21
2.47,160
2.50,326
2.49,132
2.46,187
2.50,160
2.50,326
2.49,21
2.50,132
2.52,576
2.51,21
2.51,160
2.49,132
2.52,48
2.51,49
2.50,243
2.49,49
2.51,464
2.52,299
2.48,187
2.49,132
2.48,21
2.49,160
2.48,48
2.48,410
2.49,132
2.48,21
2.49,48
2.47,437
2.51,160
2.51,48
2.49,382
2.49,49
2.49,298
2.52,49
2.46,132
2.48,48
2.54,132
2.50,354
2.50,104
2.48,21
2.49,21
2.51,21
2.47,132
2.48,49
2.48,21
2.48,49
2.48,132
2.48,437
2.47,132
2.53,21
2.50,21
2.47,76
2.52,243
2.48,465
2.50,48
2.49,382
2.49,21
2.54,49
2.49,21
2.53,326
2.48,48
2.50,77
2.50,21
2.51,76
2.53,464
2.50,159
2.49,21
2.47,21
2.51,131
2.47,49
2.53,131
2.48,132
2.48,131
2.49,21
2.48,21
2.51,21
2.52,21
2.50,132
2.48,20
2.52,271
2.53,21
2.53,519
2.53,49
2.49,21
2.51,76
2.54,49
2.49,48
2.48,21
2.50,49
2.47,104
2.47,298
2.50,21
2.48,159
2.51,104
2.50,21
2.50,21
2.52,49
2.51,270
2.50,159
2.47,21
2.51,21
2.51,21
2.49,215
2.49,21
2.49,49
2.52,48
2.52,76
2.50,21
2.50,49
2.47,21
2.50,243
2.48,159
2.49,21
2.49,21
2.51,49
2.50,297
2.49,21
2.50,409
2.52,21
2.55,21
2.52,104
2.52,298
2.48,20
2.49,104
2.49,21
2.47,21
2.51,187
2.52,21
2.53,21
2.53,21
2.50,104
2.53,21
2.52,49
2.50,76
2.51,21
2.50,21
2.49,159
2.47,21
2.48,49
2.52,76
2.49,21
2.52,21
2.51,21
2.50,49
2.51,21
2.53,21
2.47,270
2.51,131
2.52,21
2.52,21
2.49,49
2.52,131
2.51,77
2.51,21
2.49,436
2.53,21
2.50,21
2.50,21
2.51,104
2.50,49
2.49,21
2.50,159
2.49,104
2.50,21
2.51,49
2.49,131
2.48,21
2.53,49
2.50,271
2.51,132
2.50,21
2.50,187
2.49,21
2.50,21
2.48,21
2.50,49
2.51,104
2.47,132
2.50,76
2.52,687
2.54,49
2.53,243
2.52,104
2.48,159
2.48,49
2.52,243
2.51,49
2.53,132
2.46,159
2.48,21
2.51,188
2.54,132
2.51,159
2.50,21
2.50,21
2.49,21
2.53,132
2.51,49
2.51,132
2.52,49
2.51,131
2.50,21
2.51,21
2.50,299
2.50,298
2.50,187
2.50,881
2.54,437
2.48,160
2.51,21
2.51,48
2.48,465
2.49,21
2.49,104
2.49,327
2.52,603
2.50,354
2.50,76
2.55,49
2.50,49
2.49,49
2.49,354
2.50,187
2.49,159
2.48,21
2.53,243
2.47,104
2.50,132
2.50,49
2.48,132
2.53,21
2.49,132
2.50,76
2.50,21
2.52,21
2.50,21
2.45,104
2.47,22
2.45,20
2.45,160
2.51,77
2.52,132
2.49,159
2.50,216
2.51,76
2.48,215
2.48,21
2.51,132
2.48,215
2.45,215
2.48,21
2.51,49
2.48,576
2.47,187
2.48,354
2.52,132
2.47,271
2.47,159
2.47,21
2.46,105
2.46,242
2.48,216
2.51,409
2.48,132
2.47,464
2.48,49
2.50,215
2.46,687
2.50,21
2.47,21
2.51,410
2.51,131
2.51,243
2.51,271
2.52,298
2.51,49
2.51,104
2.50,160
2.51,49
2.49,131
2.52,49
2.50,188
2.54,104
2.53,132
2.47,159
2.52,21
2.49,49
2.51,188
2.52,298
2.52,104
2.51,49
2.47,48
2.46,21
2.50,243
2.50,49
2.51,160
2.47,48
2.47,243
2.50,77
2.48,76
2.49,49
2.51,76
2.48,21
2.50,49
2.51,49
2.45,48
2.51,49
2.49,104
2.49,271
2.50,49
2.48,187
2.51,49
2.49,49
2.49,187
2.50,49
2.50,48
2.51,77
2.50,76
2.53,160
2.49,297
2.50,215
2.52,21
2.50,186
2.50,104
2.51,132
2.48,131
2.49,132
2.48,48
2.49,104
2.47,159
2.52,21
2.51,132
2.51,21
2.49,21
2.49,21
2.48,21
2.47,76
2.47,21
2.49,21
2.47,21
2.48,21
2.47,21
2.47,21
2.45,48
2.48,104
2.48,21
2.48,21
2.46,49
2.48,21
2.47,49
2.47,131
2.47,77
2.50,48
2.49,21
2.48,242
2.50,49
2.47,21
2.48,21
2.50,187
2.54,215
2.53,187
2.45,104
2.51,242
2.49,49
2.51,21
2.48,215
2.49,270
2.52,21
2.49,21
2.49,242
2.48,21
2.48,21
2.50,21
2.47,132
2.50,48
2.47,21
2.49,21
2.47,21
2.51,104
2.48,132
2.49,21
2.49,215
2.49,21
2.47,21
2.51,76
2.46,159
2.53,21
2.49,21
2.52,21
2.50,298
2.48,243
2.50,76
2.51,104
2.51,215
2.49,21
2.52,21
2.48,76
2.48,104
2.46,21
2.47,48
2.52,49
2.49,21
2.49,49
2.50,76
2.47,21
2.47,21
2.46,21
2.47,21
2.48,48
2.49,49
2.51,76
2.48,21
2.53,21
2.52,21
2.47,76
2.47,49
2.53,132
2.50,76
2.48,49
2.47,104
2.51,49
2.47,21
2.51,21
2.50,21
2.51,48
2.50,77
2.51,49
2.51,48
2.49,21
2.51,21
2.52,21
2.48,49
2.50,49
2.50,48
2.49,49
2.49,21
2.48,21
2.49,21
2.45,21
2.51,49
2.50,76
2.51,21
2.49,21
2.47,21
2.50,21
2.49,49
2.51,104
2.49,76
2.47,21
2.47,299
2.50,104
2.47,132
2.48,49
2.49,48
2.46,49
2.51,21
2.47,21
2.47,21
2.48,21
2.51,104
2.48,188
2.48,49
2.46,187
2.48,49
2.50,48
2.48,160
2.50,49
2.50,49
2.49,76
2.50,21
2.48,104
2.48,77
2.50,20
2.54,21
2.52,21
2.48,49
2.51,21
2.46,77
2.49,76
2.50,21
2.47,21
2.46,49
2.48,132
2.53,326
2.50,21
2.49,48
2.51,49
2.47,243
2.50,49
2.47,76
2.52,21
2.49,21
2.47,49
2.53,104
2.52,132
2.50,49
2.48,215
2.48,77
2.50,76
2.50,104
2.49,77
2.47,48
2.49,21
2.50,49
2.51,21
2.49,49
2.49,104
2.50,21
2.49,243
2.47,104
2.50,104
2.51,49
2.47,21
2.51,21
2.50,48
2.46,49
2.50,76
2.51,77
2.49,132
2.51,49
2.48,76
2.52,21
2.46,132
2.51,49
2.49,21
2.47,21
2.47,21
2.48,48
2.49,243
2.47,49
2.48,104
2.49,21
2.50,21
2.49,49
2.50,104
2.49,49
2.50,21
2.48,21
2.47,104
2.50,104
2.48,21
2.49,21
2.47,21
2.50,104
2.48,77
2.48,21
2.52,104
2.45,48
2.49,49
2.50,49
2.50,21
2.47,49
2.53,104
2.51,49
2.48,104
2.47,48
2.50,243
2.50,243
2.50,49
2.51,76
2.48,21
2.51,21
2.48,21
2.50,49
2.47,49
2.49,48
2.48,49
2.51,21
2.48,21
2.48,21
2.49,104
2.48,77
2.51,21
2.51,21
2.49,21
2.54,76
2.52,76
2.46,49
2.52,76
2.48,21
2.48,76
2.46,76
2.46,21
2.52,131
2.49,21
2.46,21
2.49,49
2.53,21
2.52,48
2.47,21
2.46,21
2.51,21
2.48,21
2.47,21
2.52,21
2.52,21
2.50,132
2.47,132
2.50,20
2.49,77
2.48,48
2.49,49
2.47,21
2.46,21
2.48,49
2.49,76
2.48,21
2.49,21
2.48,21
2.47,131
2.50,49
2.52,49
2.49,21
2.48,21
2.52,21
2.46,21
2.49,131
2.50,49
2.50,409
2.52,20
2.48,49
2.47,21
2.50,21
2.50,132
2.48,76
2.49,49
2.49,21
2.50,187
2.48,187
2.50,21
2.52,187
2.48,48
2.49,49
2.52,21
2.50,21
2.49,187
2.51,76
2.50,21
2.51,21
2.50,21
2.47,21
2.46,21
2.52,76
2.50,132
2.50,21
2.50,21
2.48,49
2.49,131
2.47,21
2.49,21
2.51,21
2.48,21
2.51,48
2.50,21
2.48,21
2.49,21
2.50,21
2.53,49
2.51,49
2.47,20
2.51,49
2.50,21
2.49,21
2.51,21
2.49,21
2.49,104
2.49,21
2.50,76
2.50,21
2.48,21
2.52,21
2.51,21
2.52,21
2.51,76
2.48,21
2.51,21
2.50,77
2.48,48
2.54,49
2.51,76
2.51,21
2.49,49
2.48,49
2.51,49
2.50,21
2.50,21
2.51,21
2.51,21
2.53,48
2.50,49
2.48,49
2.51,159
2.47,49
2.49,49
2.49,132
2.49,104
2.47,49
2.52,21
2.51,21
2.51,104
2.49,76
2.50,77
2.51,21
2.50,48
2.53,49
2.48,49
2.47,215
2.47,49
2.49,48
2.49,21
2.46,21
2.49,21
2.50,49
2.48,49
2.49,48
2.48,132
2.49,49
2.48,49
2.50,159
2.50,49
2.54,132
2.53,21
2.50,48
2.48,77
2.50,76
2.49,21
2.47,21
2.48,21
2.47,49
2.49,21
2.46,132
2.47,21
2.49,21
2.49,48
2.51,49
2.48,49
2.45,159
2.51,49
2.49,49
2.50,132
2.47,21
2.53,21
2.52,49
2.50,48
2.47,21
2.48,49
2.50,77
2.48,104
2.46,21
2.48,21
2.50,76
2.45,77
2.47,48
2.50,77
2.52,48
2.50,49
2.51,49
2.46,49
2.47,187
2.46,49
2.46,76
2.48,49
2.50,132
2.49,21
2.49,49
2.47,48
2.50,77
2.51,76
2.47,21
2.46,21
2.47,21
2.49,21
2.49,49
2.46,48
2.52,49
2.46,21
2.48,21
2.50,21
2.49,21
2.50,104
2.48,49
2.49,132
2.46,270
2.49,49
2.48,49
2.50,132
2.48,48
2.50,49
2.49,77
2.47,21
2.48,21
2.52,21
2.48,104
2.49,49
2.49,21
2.48,76
2.46,49
2.50,104
2.52,21
2.50,21
2.50,76
2.51,160
2.55,21
2.49,104
2.47,49
2.50,49
2.49,21
2.50,187
2.49,21
2.48,76
2.50,21
2.51,77
2.47,48
2.50,49
2.47,132
2.46,49
2.46,49
2.47,48
2.49,77
2.49,104
2.49,21
2.46,21
2.47,21
2.49,21
2.51,21
2.48,21
2.48,21
2.50,104
2.49,49
2.52,269
2.49,104
2.46,21
2.49,49
2.46,20
2.50,49
2.47,21
2.48,76
2.50,49
2.47,76
2.49,21
2.46,76
2.50,215
2.51,21
2.51,49
2.48,187
2.50,76
2.53,215
2.51,48
2.49,21
2.46,21
2.50,49
2.49,49
2.50,20
2.53,49
2.49,104
2.54,21
2.50,21
2.48,21
2.51,76
2.49,104
2.52,21
2.54,21
2.52,21
2.50,21
2.49,76
2.47,49
2.52,21
2.52,21
2.49,104
2.46,76
2.46,21
2.50,49
2.46,21
2.49,104
2.47,132
2.51,131
2.48,49
2.52,132
2.48,48
2.51,243
2.50,20
2.51,105
2.47,48
2.49,21
2.48,21
2.49,21
2.49,49
2.47,21
2.47,76
2.49,132
2.47,20
2.46,49
2.51,21
2.53,21
2.49,21
2.48,159
2.48,104
2.47,21
2.48,21
2.49,21
2.48,49
2.49,104
2.50,21
2.54,159
2.44,159
2.50,21
2.46,49
2.51,21
2.48,215
2.44,76
2.48,21
2.49,21
2.46,21
2.46,21
2.49,21
2.46,21
2.50,48
2.50,49
2.46,21
2.46,21
2.53,21
2.49,21
2.50,76
2.51,49
2.46,20
2.48,49
2.51,21
2.50,21
2.48,49
2.51,159
2.51,49
2.53,104
2.50,21
2.50,21
2.52,21
2.48,132
2.49,49
2.48,21
2.47,21
2.51,21
2.47,48
2.46,49
2.51,49
2.49,76
2.49,21
2.48,21
2.48,21
2.48,21
2.51,49
2.53,48
2.47,49
2.49,21
2.48,76
2.47,49
2.50,49
2.49,104
2.48,21
2.46,49
2.46,104
2.47,76
2.49,188
2.48,21
2.45,21
2.47,21
2.47,48
2.50,49
2.50,49
2.52,104
2.47,21
2.47,21
2.46,49
2.52,49
2.47,48
2.46,21
2.45,104
2.46,77
2.47,49
2.45,76
2.50,49
2.49,132
2.50,21
2.51,104
2.49,132
2.44,132
2.49,159
2.49,21
2.46,77
2.45,48
2.47,49
2.49,104
2.47,77
2.46,49
2.45,76
2.48,21
2.50,21
2.50,49
2.51,132
2.47,21
2.46,104
2.46,104
2.50,76
2.50,21
2.48,132
2.46,49
2.52,21
2.51,76
2.51,49
2.48,77
2.52,48
2.52,21
2.46,21
2.51,160
2.50,76
2.48,21
2.49,21
2.47,77
2.50,104
2.49,21
2.49,21
2.45,21
2.49,21
2.48,76
2.47,49
2.50,21
2.49,21
2.52,21
2.49,21
2.46,21
2.42,20
2.50,49
2.47,49
2.47,21
2.50,132
2.51,270
2.48,49
2.49,49
2.55,21
2.49,104
2.50,21
2.49,49
2.45,48
2.45,49
2.47,21
2.47,132
2.45,215
2.47,76
2.48,49
2.52,21
2.51,21
2.45,21
2.46,21
2.50,21
2.45,21
2.51,132
2.53,21
2.46,21
2.47,21
2.49,21
2.45,21
2.50,21
2.51,104
2.51,21
2.46,104
2.45,49
2.47,104
2.49,49
2.48,21
2.49,76
2.49,49
2.49,104
2.48,132
2.54,21
2.47,76
2.47,21
2.48,77
2.47,48
2.46,49
2.51,104
2.52,77
2.50,49
2.50,104
2.48,48
2.50,49
2.50,49
2.51,186
2.46,49
2.46,21
2.46,187
2.47,76
2.45,76
2.47,21
2.49,21
2.49,21
2.47,131
2.46,298
2.50,21
2.50,49
2.45,21
2.45,21
2.47,104
2.51,21
2.50,104
2.49,21
2.50,21
2.45,21
2.46,21
2.49,21
2.46,48
2.48,76
2.49,21
2.48,21
2.50,49
2.47,21
2.53,21
2.46,104
2.48,49
2.50,242
2.51,21
2.52,21
2.46,21
2.48,21
2.50,21
2.49,48
2.46,21
2.49,49
2.48,21
2.49,21
2.47,132
2.48,131
2.46,49
2.49,76
2.44,104
2.48,21
2.55,21
2.48,21
2.47,21
2.51,215
2.46,21
2.51,76
2.48,76
2.53,49
2.47,21
2.48,21
2.49,104
2.46,21
2.54,187
2.52,21
2.50,48
2.50,49
2.53,21
2.50,21
2.49,187
2.50,104
2.46,187
2.48,21
2.48,49
2.54,76
2.48,49
2.48,20
2.43,21
2.47,105
2.48,21
2.46,76
2.51,76
2.52,21
2.51,21
2.52,21
2.50,21
2.48,48
2.48,132
2.50,21
2.49,21
2.50,21
2.48,21
2.50,49
2.46,131
2.49,21
2.50,21
2.46,21
2.52,104
2.48,21
2.48,21
2.50,21
2.52,49
2.48,21
2.49,159
2.47,49
2.54,49
2.48,159
2.49,49
2.45,49
2.51,132
2.50,49
2.52,104
2.50,21
2.47,48
2.49,49
2.47,49
2.48,187
2.47,77
2.47,49
2.48,187
2.50,49
2.50,132
2.47,104
2.51,49
2.47,76
2.47,21
2.47,104
2.43,49
2.52,21
2.48,104
2.47,49
2.46,215
2.49,104
2.48,132
2.51,49
2.43,48
2.51,105
2.47,21
2.46,104
2.47,49
2.48,159
2.50,77
2.48,132
2.46,242
2.48,49
2.51,104
2.45,77
2.49,48
2.48,49
2.46,49
2.52,104
2.48,21
2.51,104
2.50,49
2.48,21
2.47,21
2.50,21
2.48,21
2.47,21
2.45,48
2.50,77
2.51,21
2.47,21
2.49,21
2.46,21
2.53,48
2.48,49
2.50,49
2.48,49
2.51,21
2.46,21
2.47,104
2.48,49
2.51,48
2.49,21
2.50,21
2.48,21
2.51,21
2.47,21
2.47,49
2.50,49
2.49,48
2.54,49
2.50,21
2.46,21
2.49,160
2.49,48
2.51,21
2.47,49
2.48,21
2.46,21
2.52,21
2.48,76
2.50,21
2.52,104
2.49,49
2.52,215
2.49,49
2.48,49
2.47,132
2.49,159
2.50,21
2.50,21
2.49,77
2.48,49
2.51,48
2.51,271
2.46,21
2.51,132
2.50,21
2.50,76
2.46,132
2.49,49
2.46,187
2.46,215
2.50,21
2.53,299
2.47,104
2.44,76
2.51,21
2.50,49
2.47,21
2.51,21
2.47,49
2.48,21
2.51,104
2.47,21
2.52,21
2.50,76
2.50,132
2.52,77
2.52,187
2.52,21
2.51,21
2.48,77
2.49,104
2.47,21
2.50,104
2.50,49
2.47,21
2.49,159
2.46,77
2.49,215
2.52,104
2.51,21
2.50,76
2.46,132
2.51,21
2.53,21
