range, ranging_attempt_count
2.95,4411
2.93,4258
2.95,409
2.93,298
2.93,408
2.93,520
2.93,21
2.94,21
2.94,21
2.94,76
2.96,243
2.93,298
2.94,159
2.91,104
2.93,49
2.95,21
2.94,131
2.96,409
2.96,21
2.93,21
2.93,824
2.93,119
2.96,1848
2.92,547
2.93,3677
2.94,2070
2.96,658
2.93,132
2.93,104
2.93,160
2.98,104
2.97,2573
2.92,1934
2.91,770
2.92,576
2.93,160
2.91,298
2.93,770
2.91,298
2.90,437
2.93,49
2.94,742
2.91,1131
2.94,187
2.92,326
2.92,132
2.96,49
2.93,187
2.92,271
2.93,326
2.92,104
2.94,21
2.96,160
2.88,49
2.94,159
2.92,188
2.92,104
2.94,49
2.92,159
2.93,188
2.97,159
2.93,160
2.97,132
2.98,187
2.94,132
2.93,49
2.94,104
2.97,21
2.93,326
2.94,1214
2.95,21
2.93,104
2.97,49
2.92,603
2.95,742
2.90,21
2.95,1991
2.92,3238
2.94,869
2.95,4098
2.96,49
2.92,132
2.94,159
2.90,326
2.92,798
2.95,104
2.93,492
2.91,132
2.91,465
2.92,298
2.94,604
2.93,160
2.95,21
2.88,159
2.91,21
2.93,104
2.92,216
2.90,409
2.95,3059
2.92,1796
2.92,3710
2.91,1713
2.93,742
2.92,147
2.91,881
2.92,742
2.93,21
2.94,21
2.93,299
2.91,603
2.94,493
2.91,132
2.93,76
2.93,714
2.94,21
2.94,49
2.93,104
2.93,132
2.93,49
2.94,409
2.91,382
2.93,243
2.93,49
2.93,131
2.93,188
2.93,159
2.92,49
2.92,104
2.90,215
2.91,21
2.91,132
2.93,49
2.92,21
2.92,21
2.93,104
2.92,49
2.92,132
2.97,298
2.91,604
2.92,49
2.91,270
2.91,188
2.93,104
2.92,48
2.91,299
2.93,21
2.94,48
2.92,160
2.93,132
2.93,21
2.94,21
2.95,492
2.92,49
2.91,49
2.92,48
2.94,49
2.91,132
2.91,132
2.95,132
2.91,49
2.93,48
2.93,77
2.93,21
2.91,48
2.93,49
2.91,271
2.91,49
2.91,298
2.93,104
2.90,104
2.93,160
2.93,104
2.93,187
2.91,49
2.96,132
2.91,160
2.91,21
2.94,21
2.94,21
2.93,132
2.91,48
2.91,160
2.95,159
2.92,381
2.92,20
2.95,243
2.92,186
2.92,77
2.91,159
2.92,131
2.93,436
2.91,131
2.93,21
2.95,159
2.93,21
2.92,104
2.91,21
2.92,49
2.94,132
2.93,242
2.91,49
2.91,76
2.95,49
2.91,21
2.92,21
2.93,21
2.91,159
2.94,21
2.91,21
2.92,21
2.93,104
2.94,21
2.91,21
2.94,21
2.90,159
2.94,298
2.91,21
2.93,21
2.92,381
2.91,49
2.91,20
2.93,21
2.92,21
2.91,21
2.90,77
2.93,21
2.92,21
2.94,159
2.91,21
2.95,21
2.92,21
2.92,131
2.94,49
2.93,104
2.92,49
2.91,20
2.92,77
2.91,21
2.94,21
2.90,21
2.92,48
2.93,104
2.91,21
2.93,21
2.92,49
2.94,21
2.91,242
2.93,21
2.91,49
2.91,270
2.93,159
2.91,21
2.89,270
2.94,49
2.92,104
2.93,21
2.92,21
2.91,21
2.93,21
2.98,104
2.91,21
2.92,21
2.94,21
2.92,159
2.92,159
2.94,21
2.92,270
2.93,49
2.90,242
2.91,49
2.91,21
2.91,21
2.91,49
2.92,104
2.93,104
2.93,132
2.94,76
2.94,21
2.94,21
2.93,104
2.93,21
2.95,131
2.92,49
2.91,132
2.92,21
2.93,49
2.95,104
2.92,21
2.92,21
2.94,21
2.91,21
2.93,49
2.91,104
2.92,159
2.92,77
2.91,21
2.93,132
2.91,104
2.91,160
2.91,20
2.93,77
2.93,104
2.95,21
2.93,77
2.92,159
2.93,77
2.91,132
2.91,76
2.92,77
2.92,76
2.91,21
2.94,21
2.90,159
2.95,49
2.93,21
2.91,243
2.91,21
2.94,21
2.91,21
2.91,49
2.92,104
