range,ranging_attempt_count,ranging_time_millisecond
3.43,372,384
3.46,104,108
3.43,319,329
3.44,211,218
3.50,858,883
3.53,211,218
3.53,103,107
3.57,427,440
3.54,103,107
3.54,427,440
3.58,426,439
3.56,211,218
3.58,319,329
3.56,50,53
3.56,50,53
3.56,49,52
3.58,104,108
3.66,158,164
3.60,49,52
3.38,482,496
3.44,49,52
3.44,50,53
3.46,266,274
3.44,49,52
3.47,50,53
3.46,50,53
3.44,50,53
3.45,158,164
3.43,50,53
3.43,103,107
3.43,50,53
3.37,805,828
3.42,50,53
3.40,104,108
3.41,157,162
3.36,50,53
3.41,104,108
3.42,266,274
3.38,49,52
3.45,428,441
3.47,213,220
3.45,157,162
3.48,104,108
3.47,49,52
3.42,158,163
3.46,158,164
3.48,537,552
3.48,49,52
3.46,1510,1551
3.48,49,52
3.44,50,53
3.43,50,53
3.46,158,163
3.45,104,108
3.45,49,52
3.47,50,53
3.45,266,274
3.45,104,108
3.48,104,108
3.42,481,495
3.47,428,441
3.43,158,164
3.45,104,108
3.44,157,162
3.46,266,274
3.47,104,108
3.45,103,107
3.49,104,108
3.53,157,162
3.52,50,53
3.50,104,108
3.46,158,164
3.49,266,274
3.47,427,440
3.48,50,53
3.49,374,385
3.47,50,53
3.51,50,53
3.48,50,53
3.51,104,108
3.51,49,52
3.51,1185,1218
3.55,266,274
3.55,50,53
3.47,699,719
3.45,428,441
3.45,50,53
3.48,482,496
3.47,266,274
3.43,104,108
3.54,103,107
3.56,104,108
3.58,265,273
3.56,104,108
3.54,265,273
3.51,50,53
3.57,266,274
3.50,266,274
3.53,50,53
3.46,104,108
3.54,265,273
3.48,1293,1328
3.50,104,108
3.52,49,52
3.51,105,109
3.48,103,107
3.50,266,274
3.48,157,162
3.51,104,108
3.52,266,274
3.51,103,107
3.51,374,385
3.46,158,163
3.48,50,53
3.50,104,108
3.57,157,162
3.53,50,53
3.56,104,108
3.53,103,107
3.53,50,53
3.61,266,274
3.59,158,164
3.69,266,274
3.66,103,107
3.58,266,274
3.57,50,53
3.59,158,163
3.58,644,662
3.58,158,163
3.56,104,108
3.59,49,52
3.55,104,108
3.64,104,108
3.64,103,107
3.61,158,163
3.63,49,52
3.65,104,108
3.67,428,441
3.66,158,163
3.65,266,274
3.65,482,496
3.67,698,718
3.69,50,53
3.66,429,442
3.65,50,53
3.65,536,551
3.66,266,274
3.68,482,496
3.68,374,385
3.65,536,551
3.65,158,163
3.64,49,52
3.53,105,109
3.62,427,440
3.59,104,108
3.59,266,274
3.69,158,163
3.63,428,441
3.59,536,551
3.64,266,274
3.63,104,108
3.60,49,52
3.62,158,163
3.62,536,551
3.65,158,163
3.67,104,108
3.59,320,330
3.56,50,53
3.57,158,163
3.60,428,441
3.65,428,441
3.64,50,53
3.54,266,274
3.59,50,53
3.58,104,108
3.49,482,496
3.45,428,441
3.46,104,108
3.46,103,107
3.47,104,108
3.48,319,329
3.47,104,108
3.45,49,52
3.48,375,386
3.50,103,107
3.47,49,52
3.50,50,53
3.48,807,830
3.49,265,273
3.51,265,273
3.55,265,273
3.53,104,108
3.55,372,383
3.46,750,771
3.47,49,52
3.55,643,661
3.50,534,549
3.53,265,273
3.54,49,52
3.56,536,551
3.55,374,385
3.54,265,273
3.57,319,329
3.58,266,274
3.59,374,385
3.60,49,52
3.57,50,53
3.52,103,107
3.55,536,551
3.60,373,384
3.59,481,495
3.56,49,52
3.50,644,662
3.57,50,53
3.51,913,938
3.50,265,273
3.54,644,662
3.51,805,828
3.51,49,52
3.54,374,385
3.45,697,717
3.47,50,53
3.51,50,53
3.49,50,53
3.51,158,164
3.47,481,496
3.48,211,219
3.51,319,329
3.50,587,606
3.51,104,108
3.54,103,107
3.51,481,496
3.54,103,107
3.55,104,108
3.53,210,217
3.50,104,108
3.52,318,329
3.51,104,108
3.52,211,219
3.49,157,163
3.55,373,385
3.53,372,384
3.55,212,220
3.59,534,550
3.58,211,219
3.57,157,163
3.58,104,108
3.57,103,107
3.53,211,219
3.58,211,218
3.56,103,107
3.56,104,108
3.54,103,107
3.57,265,274
3.57,265,274
3.58,373,385
3.59,211,219
3.57,104,108
3.58,318,329
3.59,104,108
3.60,211,219
3.57,49,52
3.52,211,219
3.53,50,53
3.55,373,385
3.58,49,52
3.55,319,330
3.56,157,163
3.59,104,108
3.55,103,107
3.56,103,107
3.61,696,717
3.58,265,274
3.62,319,329
3.65,265,274
3.60,49,52
3.63,319,330
3.60,104,108
3.58,102,106
3.59,50,53
3.59,480,495
3.59,373,385
3.62,534,551
3.61,103,107
3.60,318,329
3.56,158,164
3.62,211,219
3.62,158,164
3.62,104,108
3.61,319,329
3.58,50,53
3.59,266,275
3.63,211,219
3.61,158,164
3.58,50,53
3.60,158,164
3.55,535,552
3.55,102,106
3.56,104,108
3.61,427,440
3.59,103,107
3.63,212,219
3.56,211,219
3.62,104,108
3.63,103,107
3.62,158,164
3.59,319,330
3.59,50,53
3.63,265,274
3.59,374,386
3.59,211,219
3.58,104,108
3.53,480,495
3.51,266,275
3.51,104,108
3.50,211,218
3.55,50,53
3.56,590,608
3.52,373,385
3.52,49,52
3.55,319,330
3.53,50,53
3.52,212,220
3.56,50,53
3.57,858,885
3.58,50,53
3.50,481,496
3.52,157,163
3.57,212,220
3.53,265,274
3.54,266,275
3.54,103,107
3.56,319,330
3.51,50,53
3.53,266,275
3.56,265,274
3.52,265,274
3.57,265,274
3.54,319,330
3.54,50,53
3.54,481,496
3.51,374,386
3.52,373,385
3.50,49,52
3.54,212,220
3.52,211,218
3.54,373,385
3.56,104,108
3.54,103,107
3.52,157,163
3.54,374,386
3.54,49,52
3.55,265,274
3.56,104,108
3.53,318,329
3.53,158,164
3.57,481,496
3.55,104,108
3.57,103,107
3.54,103,107
3.59,373,385
3.57,104,108
3.57,49,52
3.56,104,108
3.58,103,107
3.60,212,219
3.57,1019,1050
3.58,266,275
3.56,103,107
3.53,50,53
3.47,588,607
3.54,158,164
3.54,266,275
3.55,49,52
3.53,104,108
3.50,103,107
3.57,373,385
3.57,265,274
3.56,266,275
3.55,103,107
3.58,319,330
3.54,50,53
3.58,535,552
3.54,49,52
3.59,104,108
3.55,158,164
3.54,319,330
3.55,266,275
3.52,158,164
3.54,157,163
3.55,103,107
3.55,266,275
3.56,104,108
3.60,49,52
3.56,481,496
3.57,266,275
3.54,265,274
3.54,157,163
3.58,266,275
3.54,49,52
3.53,320,331
3.53,373,385
3.57,212,220
3.51,50,53
3.52,265,274
3.54,50,53
3.55,104,108
3.56,103,107
3.55,265,274
3.56,266,275
3.59,103,107
3.60,104,108
3.60,480,495
3.59,158,164
3.59,104,108
3.59,103,107
3.58,104,108
3.62,103,107
3.68,211,219
3.60,50,53
3.64,481,496
3.65,158,164
3.62,265,274
3.62,266,275
3.57,265,274
3.59,104,108
3.56,426,440
3.59,158,164
3.59,104,108
3.47,157,163
3.54,266,275
3.57,49,52
3.52,266,275
3.51,103,107
3.51,1235,1273
3.54,104,108
3.58,264,273
3.59,158,164
3.54,211,219
3.56,212,219
3.57,103,107
3.57,50,53
3.57,212,219
3.57,156,162
3.54,588,606
3.52,49,52
3.57,50,53
3.55,426,439
3.51,157,163
3.50,50,53
3.57,910,937
3.53,210,217
3.55,211,218
3.68,480,495
3.69,104,108
3.64,49,52
3.63,104,108
3.66,211,218
3.68,211,218
3.69,534,551
3.66,803,827
3.66,50,53
3.65,211,218
3.61,104,108
3.68,49,52
3.62,50,53
3.62,50,53
3.67,49,52
3.63,50,53
3.64,50,53
3.53,319,329
3.53,103,107
3.56,104,108
3.58,103,107
3.58,49,52
3.55,427,441
3.59,104,108
3.58,49,52
3.59,50,53
3.56,104,108
3.56,49,52
3.54,319,329
3.55,211,218
3.53,50,53
3.53,50,53
3.55,534,551
3.50,211,218
3.53,50,53
3.53,49,52
3.55,212,219
3.52,534,551
3.54,103,107
3.47,211,218
3.50,211,218
3.53,50,53
3.52,50,53
3.58,319,329
3.56,426,439
3.56,211,218
3.58,158,164
3.57,211,218
3.58,103,107
3.53,104,108
3.56,49,52
3.57,104,108
3.53,49,52
3.57,50,53
3.58,212,219
3.53,211,218
3.51,103,107
3.54,319,329
3.53,103,107
3.52,104,108
3.53,426,439
3.56,589,607
3.56,49,52
3.54,642,662
3.55,427,441
3.53,103,107
3.54,696,717
3.56,49,52
3.51,265,274
3.59,50,53
3.59,50,53
3.60,212,219
3.55,210,217
3.60,642,662
3.58,1289,1327
3.56,49,52
3.57,211,218
3.59,50,53
3.59,211,218
3.55,211,218
3.61,1019,1049
3.60,103,107
3.63,104,108
3.58,211,218
3.59,103,107
3.60,426,439
3.60,211,218
3.60,319,329
3.59,103,107
3.63,50,53
3.58,427,441
3.59,643,663
3.57,212,219
3.61,319,329
3.62,428,442
3.59,319,329
3.57,481,496
3.58,50,53
3.56,103,107
3.60,50,53
3.56,212,219
3.58,211,218
3.55,319,329
3.57,104,108
3.53,103,107
3.54,50,53
3.57,212,219
3.55,49,52
3.57,50,53
3.51,104,108
3.46,913,940
3.48,589,607
3.49,49,52
3.49,50,53
3.53,50,53
3.49,104,108
3.50,427,441
3.49,427,440
3.52,481,496
3.51,103,107
3.51,50,53
3.51,104,108
3.54,103,107
3.55,104,108
3.53,319,329
3.53,49,52
3.52,158,164
3.54,50,53
3.54,212,219
