range,ranging_attempt_count
6.35,482
6.35,50
6.33,50
6.36,158
6.33,50
6.33,374
6.35,211
6.34,212
6.34,103
6.32,1183
6.32,481
6.38,50
6.35,212
6.34,157
6.32,212
6.34,535
6.35,104
6.36,103
6.34,319
6.31,50
6.32,482
6.32,49
6.32,104
6.30,104
6.33,103
6.32,319
6.34,266
6.31,104
6.33,211
6.35,50
6.33,50
6.34,158
6.35,50
6.33,50
6.34,481
6.38,50
6.37,104
6.34,211
6.34,104
6.33,49
6.32,374
6.35,158
6.34,158
6.33,50
6.33,50
6.37,158
6.37,50
6.33,374
6.34,320
6.34,103
6.36,427
6.35,50
6.33,50
6.33,157
6.35,212
6.36,266
6.36,103
6.35,212
6.34,643
6.35,266
6.31,49
6.31,212
6.33,590
6.35,266
6.32,49
6.33,159
6.33,50
6.33,49
6.37,50
6.33,374
6.38,50
6.37,50
6.34,158
6.31,50
6.33,50
6.36,158
6.35,157
6.35,105
6.34,49
6.37,104
6.34,49
6.33,50
6.32,104
6.33,103
6.33,104
6.36,103
6.32,319
6.36,50
6.39,50
6.34,374
6.34,158
6.36,427
6.34,50
6.37,158
6.34,50
6.33,50
6.37,158
6.32,50
6.37,50
6.35,158
6.35,157
6.33,105
6.37,49
6.33,50
6.34,590
6.34,103
6.35,480
6.34,50
6.36,50
6.35,103
6.34,157
6.36,158
6.34,103
6.33,103
6.33,749
6.35,103
6.37,104
6.34,103
6.32,318
6.33,104
6.35,319
6.38,211
6.32,264
6.33,104
6.33,211
6.35,103
6.32,50
6.33,50
6.35,50
6.34,103
6.36,50
6.36,50
6.33,50
6.37,103
6.34,50
6.34,50
6.38,50
6.36,103
6.32,50
6.37,50
6.36,50
6.33,103
6.38,50
6.33,50
6.38,50
6.35,103
6.34,49
6.38,374
6.33,157
6.34,427
6.39,50
6.37,49
6.36,104
6.36,50
6.33,50
6.34,49
6.37,104
6.32,50
6.33,50
6.36,49
6.33,104
6.34,50
6.34,1019
6.34,104
6.38,212
6.38,50
6.34,104
6.37,480
6.33,50
6.33,481
6.37,211
6.35,104
6.36,157
6.37,157
6.35,158
6.39,697
6.37,49
6.33,50
6.36,104
6.34,49
6.37,104
6.36,49
6.34,158
6.36,212
6.35,211
6.34,157
6.35,211
6.36,50
6.38,103
6.34,373
6.36,104
6.35,49
6.33,50
6.34,50
6.33,104
6.33,49
6.33,50
6.34,50
6.35,104
6.33,157
6.34,103
6.37,50
6.34,103
6.34,697
6.32,49
6.34,50
6.33,50
6.35,50
6.37,104
6.34,50
6.34,212
6.32,265
6.33,50
6.34,104
6.32,49
6.35,374
6.35,374
6.39,104
6.35,104
6.32,481
6.35,157
6.36,105
6.37,103
6.32,481
6.35,428
6.32,697
6.33,50
6.33,50
6.35,104
6.35,697
6.35,158
6.35,50
6.33,104
6.33,103
6.36,104
6.38,49
6.38,158
6.38,50
6.36,104
6.37,157
6.33,212
6.33,49
6.33,266
6.34,50
6.35,212
6.34,481
6.36,104
6.37,103
6.34,50
6.36,481
6.33,104
6.36,104
6.32,49
6.35,104
6.36,50
6.33,50
6.32,427
6.35,104
6.36,49
6.35,104
6.38,265
6.37,266
6.36,104
6.34,157
6.35,50
6.36,320
6.34,104
6.36,265
6.38,212
6.33,104
6.33,103
6.34,103
6.33,266
6.33,50
6.32,50
6.37,373
6.32,50
6.33,266
6.36,266
6.37,212
6.33,319
6.39,50
6.38,104
6.35,157
6.33,158
6.30,590
6.33,104
6.33,49
6.39,158
6.33,428
6.36,49
6.37,482
6.34,158
6.34,914
6.35,103
6.34,104
6.33,49
6.36,50
6.34,50
6.37,50
6.33,50
6.35,212
6.34,49
6.35,428
6.33,373
6.33,320
6.37,211
6.34,212
6.33,103
6.35,104
6.34,211
6.34,481
6.33,104
6.37,373
6.37,212
6.34,104
6.33,103
6.38,49
6.32,374
6.32,50
6.34,212
6.36,49
6.36,320
6.35,50
6.32,50
6.37,50
6.35,320
6.33,427
6.33,535
6.34,266
6.35,103
6.37,104
6.36,103
6.35,50
6.38,50
6.35,50
6.36,50
6.35,212
6.33,103
6.34,373
6.34,50
6.33,104
6.34,320
6.35,373
6.35,212
6.36,211
6.34,104
6.32,265
6.38,212
6.35,49
6.34,104
6.37,697
6.34,104
6.35,266
6.30,265
6.34,51
6.37,103
6.33,104
6.35,103
6.32,49
6.34,50
6.35,158
6.36,264
6.34,804
6.34,49
6.34,158
6.37,211
6.36,480
6.34,49
6.33,50
6.36,212
6.35,588
6.37,104
6.37,49
6.36,104
6.37,965
6.33,265
6.38,373
6.37,266
6.35,265
6.35,50
6.36,212
6.36,372
6.33,374
6.38,157
6.37,158
6.39,212
6.37,157
6.34,103
6.34,104
6.38,1450
6.34,212
6.34,49
6.38,481
6.38,481
6.38,50
6.38,104
6.34,157
6.37,319
6.34,265
6.35,104
6.34,265
6.35,911
6.36,50
6.37,104
6.36,49
6.39,320
6.37,372
6.35,266
6.33,265
6.35,266
6.31,49
6.33,590
6.33,266
6.35,265
6.35,320
6.35,265
6.37,212
6.33,157
6.33,158
6.31,265
6.34,374
6.34,643
6.33,535
6.33,158
6.37,319
6.33,158
6.35,157
6.36,158
6.32,913
6.36,158
6.33,50
6.33,373
6.36,50
6.34,157
6.37,266
6.34,266
6.32,157
6.33,158
6.34,589
6.34,266
6.35,373
6.33,158
6.34,50
6.32,265
6.35,266
6.35,589
6.33,320
6.33,158
6.35,589
6.35,158
6.36,157
6.37,428
6.35,158
6.38,319
6.35,1076
6.36,158
6.34,643
6.31,103
6.34,157
6.32,375
6.35,265
6.34,320
6.32,428
6.33,50
6.32,266
6.35,158
6.38,50
6.33,158
6.32,536
6.35,266
6.35,50
6.36,158
6.35,644
6.35,50
6.37,374
6.34,50
6.34,266
6.36,320
6.34,157
6.34,429
6.35,320
6.32,536
6.34,158
6.36,212
6.39,157
6.37,158
6.33,320
6.36,320
6.37,428
6.31,50
6.37,267
6.37,49
6.33,267
6.36,374
6.33,698
6.36,158
6.34,266
6.36,536
6.38,266
6.36,266
6.36,158
6.31,374
6.35,374
6.32,428
6.33,914
6.36,212
6.32,266
6.34,590
6.32,266
6.33,50
6.33,50
6.37,536
6.33,645
6.31,320
6.35,320
6.35,320
6.34,158
6.34,266
6.38,50
6.32,158
6.34,212
6.36,265
6.32,158
6.32,158
6.35,158
6.36,158
6.34,374
6.35,158
6.34,266
6.32,157
6.32,50
6.35,158
6.34,320
6.33,158
6.32,158
6.35,212
6.34,374
6.35,157
6.32,159
6.35,49
6.35,158
6.34,212
6.37,320
6.34,50
6.33,374
6.32,50
6.32,49
6.34,375
6.33,320
6.32,266
6.36,49
6.36,645
6.36,49
6.35,158
6.33,158
6.34,158
6.33,321
6.34,266
6.33,158
6.35,50
6.33,266
6.34,50
6.31,49
6.34,645
6.32,158
6.33,50
6.34,158
6.35,644
6.33,50
6.33,158
6.35,50
6.36,536
6.37,1347
6.35,158
6.36,158
6.34,158
6.34,158
6.32,49
6.35,159
6.36,266
6.32,914
6.36,266
6.33,158
6.35,50
6.32,158
6.35,49
6.33,429
6.36,158
6.35,914
6.34,158
6.35,50
6.33,158
6.35,50
6.36,50
6.34,644
6.32,481
6.35,915
6.36,50
6.33,915
6.36,698
6.33,266
6.32,211
6.36,374
6.35,157
6.33,591
6.35,104
6.33,320
6.35,373
6.36,159
6.35,265
6.37,591
6.35,212
6.36,49
6.34,50
6.34,158
6.34,372
6.31,211
6.34,51
6.33,103
6.37,372
6.34,158
6.33,372
6.33,589
6.33,50
6.35,373
6.33,50
6.34,266
6.33,265
6.34,50
6.33,265
6.34,373
6.35,50
6.32,211
6.36,51
6.36,265
6.36,50
6.33,266
6.37,696
6.33,643
6.32,104
6.36,49
6.38,211
6.37,374
6.32,49
6.35,50
6.34,50
6.35,158
6.36,535
6.35,49
6.35,157
6.34,266
6.36,50
6.35,265
6.36,913
6.35,374
6.36,588
6.36,50
6.35,1020
6.34,265
6.36,158
6.32,49
6.35,320
6.36,265
6.35,157
6.34,589
6.33,320
6.36,49
6.35,158
6.34,1183
6.34,157
6.35,50
6.34,50
6.35,158
6.39,319
6.36,50
6.32,265
6.35,374
6.36,49
6.37,50
6.33,265
6.33,266
6.35,50
6.36,103
6.33,157
6.37,374
6.32,211
6.38,49
6.37,104
6.34,265
6.33,428
6.33,157
6.34,158
6.36,50
6.35,158
6.35,535
6.34,104
6.35,157
6.34,104
6.34,211
6.35,158
6.34,50
6.32,1019
6.32,50
6.33,212
6.33,211
6.33,50
6.34,158
6.36,49
6.33,50
6.36,427
6.34,427
6.38,266
6.35,212
6.36,103
6.35,266
6.34,266
6.33,158
6.37,158
6.34,50
6.37,50
6.34,158
6.37,158
6.34,320
6.34,50
6.36,590
6.33,50
6.33,321
6.35,158
