range,ranging_attempt_count
9.10,264
9.10,104
9.11,1343
9.09,319
9.14,481
9.13,319
9.12,211
9.12,427
9.14,319
9.12,264
9.14,212
9.13,103
9.13,211
9.12,642
9.12,427
9.16,318
9.13,319
9.15,104
9.12,103
9.14,319
9.11,103
9.12,211
9.11,103
9.13,427
9.14,103
9.14,211
9.11,427
9.12,103
9.13,535
9.12,103
9.15,211
9.15,103
9.11,103
9.12,319
9.15,103
9.14,211
9.10,104
9.12,103
9.12,319
9.13,103
9.08,211
9.14,103
9.14,319
9.10,103
9.12,319
9.09,211
9.08,427
9.12,103
9.12,319
9.12,319
9.12,103
9.15,750
9.12,103
9.11,319
9.14,211
9.13,319
9.10,211
9.12,211
9.10,211
9.08,319
9.09,103
9.12,211
9.12,103
9.15,319
9.13,319
9.12,211
9.09,319
9.14,103
9.11,319
9.14,103
9.12,427
9.10,103
9.13,588
9.11,104
9.11,211
9.10,319
9.12,373
9.10,104
9.12,265
9.12,49
9.10,266
9.10,158
9.11,49
9.13,320
9.12,373
9.10,858
9.10,50
9.11,265
9.14,320
9.13,103
9.11,157
9.13,104
9.10,103
9.09,212
9.12,103
9.11,373
9.12,158
9.14,212
9.12,49
9.12,320
9.13,49
9.13,212
9.11,50
9.14,644
9.13,50
9.11,104
9.08,49
9.11,375
9.13,49
9.15,104
9.12,158
9.11,536
9.14,482
9.10,104
9.11,103
9.11,319
9.13,158
9.13,374
9.14,49
9.13,266
9.15,50
9.11,104
9.10,698
9.13,157
9.14,374
9.11,158
9.14,374
9.11,104
9.13,49
9.14,212
9.12,752
9.15,158
9.14,374
9.12,212
9.12,157
9.12,158
9.13,104
9.13,211
9.12,158
9.10,104
9.14,49
9.11,374
9.12,482
9.12,49
9.13,50
9.11,158
9.13,914
9.12,374
9.12,157
9.14,158
9.09,212
9.11,158
9.14,49
9.12,158
9.14,158
9.12,1185
9.11,49
9.13,158
9.11,50
9.12,104
9.11,50
9.15,212
9.10,49
9.14,104
9.11,49
9.14,212
9.10,320
9.16,805
9.13,103
9.13,374
9.10,50
9.12,374
9.13,50
9.10,212
9.13,481
9.11,211
9.10,104
9.10,481
9.10,482
9.08,104
9.12,157
9.10,158
9.12,104
9.14,157
9.08,591
9.13,49
9.10,50
9.11,158
9.09,158
9.10,104
9.14,157
9.11,914
9.11,50
9.11,697
9.11,212
9.11,49
9.14,375
9.09,103
9.13,752
9.10,158
9.12,374
9.11,104
9.13,103
9.14,104
9.16,265
9.13,266
9.10,158
9.10,266
9.14,49
9.11,158
9.12,212
9.12,590
9.13,211
9.14,374
9.11,157
9.11,158
9.11,212
9.11,103
9.14,212
9.11,319
9.13,49
9.12,104
9.10,50
9.13,212
9.11,49
9.11,104
9.12,50
9.12,157
9.12,104
9.12,158
9.13,212
9.08,49
9.14,374
9.12,158
9.14,50
9.10,158
9.14,50
9.14,103
9.13,104
9.12,49
9.11,104
9.13,212
9.10,373
9.10,212
9.11,157
9.12,104
9.12,157
9.11,158
9.10,49
9.11,50
9.12,50
9.13,373
9.10,211
9.09,49
9.11,211
9.14,49
9.14,50
9.15,212
9.12,265
9.10,211
9.10,319
9.13,211
9.09,49
9.15,212
9.14,103
9.14,211
9.12,103
9.15,158
9.10,805
9.13,49
9.14,104
9.12,750
9.13,266
9.12,49
9.14,212
9.14,696
9.12,319
9.09,104
9.13,103
9.10,49
9.14,50
9.09,158
9.14,805
9.12,49
9.14,104
9.11,157
9.10,212
9.15,49
9.12,158
9.13,211
9.13,157
9.13,211
9.11,212
9.15,804
9.12,211
9.12,49
9.14,212
9.13,157
9.13,697
9.11,373
9.14,49
9.13,266
9.11,211
9.11,103
9.13,104
9.11,372
9.09,103
9.13,372
9.11,265
9.15,1125
9.13,103
9.12,587
9.10,642
9.11,964
9.10,534
9.15,103
9.11,157
9.10,319
9.10,319
9.13,265
9.11,748
9.10,265
9.17,479
9.11,104
9.11,372
9.13,103
9.12,265
9.12,479
9.13,211
9.09,373
9.10,318
9.13,157
9.11,50
9.10,212
9.10,588
9.14,211
9.13,265
9.14,103
9.14,211
9.12,264
9.14,103
9.14,211
9.13,373
9.12,318
9.13,319
9.12,319
9.09,319
9.13,158
9.16,318
9.09,104
9.11,319
9.13,373
9.09,373
9.14,481
9.12,1127
9.13,211
9.13,265
9.11,373
9.12,103
9.13,319
9.14,104
9.13,265
9.12,211
9.12,104
9.11,211
9.15,319
9.09,912
9.14,103
9.15,157
9.13,212
9.13,212
9.13,588
9.13,212
9.12,211
9.08,319
9.13,320
9.12,211
9.13,104
9.10,211
9.13,373
9.11,211
