range,ranging_attempt_count
9.34,211
9.34,104
9.34,49
9.34,104
9.33,103
9.33,104
9.33,103
9.34,590
9.35,103
9.32,590
9.30,104
9.29,157
9.31,266
9.33,104
9.34,103
9.30,104
9.34,157
9.31,104
9.33,590
9.34,49
9.32,158
9.33,104
9.33,104
9.33,49
9.32,158
9.34,158
9.33,104
9.32,103
9.33,1508
9.32,698
9.32,49
9.32,50
9.34,158
9.34,158
9.33,49
9.34,104
9.32,158
9.32,50
9.34,320
9.31,103
9.30,158
9.33,158
9.33,158
9.33,373
9.34,104
9.32,644
9.33,590
9.31,50
9.31,104
9.32,49
9.33,104
9.31,103
9.31,158
9.33,806
9.33,266
9.33,157
9.32,50
9.31,104
9.31,50
9.33,590
9.31,49
9.35,158
9.34,590
9.34,158
9.32,158
9.32,104
9.31,103
9.34,860
9.31,644
9.34,266
9.32,50
9.33,212
9.32,49
9.33,266
9.32,104
9.34,158
9.33,266
9.34,103
9.34,104
9.33,318
9.34,158
9.34,49
9.33,104
9.33,49
9.30,427
9.33,427
9.32,50
9.31,158
9.33,427
9.32,158
9.33,49
9.32,104
9.33,158
9.33,49
9.34,50
9.32,50
9.31,104
9.32,49
9.32,50
9.33,50
9.31,104
9.33,49
9.32,50
9.34,50
9.32,104
9.32,49
9.30,50
9.32,536
9.32,49
9.31,50
9.31,158
9.32,427
9.31,50
9.32,50
9.34,428
9.32,103
9.30,104
9.33,157
9.32,158
9.33,157
9.33,50
9.32,266
9.33,103
9.31,50
9.30,103
9.32,320
9.32,374
9.34,804
9.32,374
9.29,320
9.33,49
9.31,158
9.34,50
9.34,158
9.32,157
9.34,374
9.34,103
9.35,103
9.34,266
9.34,49
9.33,104
9.32,373
9.33,50
9.33,319
9.33,158
9.32,104
9.33,49
9.33,1291
9.32,50
9.34,266
9.33,103
9.32,49
9.33,374
9.32,535
9.32,50
9.31,211
9.31,50
9.32,49
9.32,752
9.34,49
9.29,319
9.31,428
9.33,50
9.33,50
9.33,50
9.33,103
9.33,50
9.33,50
9.30,265
9.32,104
9.33,265
9.34,104
9.32,49
9.33,158
9.33,50
9.31,50
9.33,319
9.33,50
9.32,50
9.33,50
9.33,104
9.32,49
9.33,536
9.33,50
9.31,320
9.33,158
9.33,104
9.33,320
9.32,266
9.29,50
9.31,50
9.32,104
9.33,49
9.33,50
9.33,50
9.32,266
9.33,50
9.33,266
9.34,266
9.33,158
9.32,50
9.33,157
9.31,158
9.31,428
9.30,50
9.33,104
9.33,374
9.31,104
9.34,103
9.32,374
9.32,265
9.31,320
9.33,428
9.33,50
9.34,50
9.33,50
9.33,266
9.33,374
9.33,158
9.33,320
9.33,50
9.32,50
9.32,50
9.33,212
9.33,49
9.33,374
9.31,104
9.34,49
9.31,50
9.32,50
9.33,158
9.33,50
9.31,157
9.33,50
9.32,266
9.32,104
9.33,103
9.32,374
9.33,428
9.32,50
9.32,482
9.33,50
9.33,320
9.32,374
9.32,104
9.33,103
9.33,158
9.35,103
9.31,50
9.33,212
9.32,49
9.32,50
9.31,374
9.32,50
9.31,50
9.33,320
9.34,1077
9.32,50
9.34,374
9.33,212
9.31,157
9.31,104
9.33,104
9.31,157
9.32,807
9.32,645
9.32,49
9.32,429
9.32,50
9.33,104
9.32,49
9.33,428
9.32,50
9.32,104
9.32,50
9.32,104
9.33,103
9.34,49
9.31,105
9.32,49
9.32,50
9.33,104
9.32,49
9.32,50
9.33,50
9.32,699
9.32,50
9.32,320
9.32,158
9.32,537
9.34,212
9.34,49
9.34,266
9.33,374
9.33,320
9.32,267
9.31,49
9.32,104
9.31,266
9.33,49
9.31,267
9.32,103
9.32,50
9.32,158
9.31,374
9.34,644
9.32,266
9.33,49
9.35,50
9.31,158
9.33,320
9.32,51
9.31,104
9.33,265
9.33,1455
9.33,158
9.32,158
9.32,428
9.32,50
9.32,50
9.32,104
9.33,49
9.33,969
9.33,429
9.31,697
9.34,158
9.32,212
9.30,50
9.33,211
9.33,212
9.33,481
9.32,158
9.33,158
9.32,50
9.32,265
9.33,157
9.33,158
9.33,103
9.32,50
9.33,748
9.32,157
9.33,158
9.33,50
9.34,211
9.34,49
9.31,50
9.32,104
9.32,49
9.33,320
9.32,49
9.31,104
9.32,103
9.33,373
9.30,103
9.31,158
9.33,50
9.31,319
9.32,211
9.34,103
9.33,103
9.31,319
9.31,103
9.32,49
9.33,374
9.32,104
9.32,211
9.31,49
9.34,158
9.33,49
9.30,427
9.33,157
9.32,266
9.31,481
9.34,103
9.32,104
9.33,49
9.33,50
9.33,50
9.33,211
9.33,211
9.32,104
9.34,49
9.31,265
9.33,427
9.32,104
9.33,264
9.32,104
9.33,50
9.34,157
9.34,104
9.33,319
9.32,211
9.33,319
9.32,49
9.34,50
9.33,158
9.33,49
9.33,104
9.34,319
9.33,211
9.33,857
9.31,212
9.34,103
9.32,49
9.30,50
9.32,50
9.30,50
9.32,265
9.32,158
9.32,373
9.32,50
9.33,50
9.31,50
9.33,49
9.33,104
9.33,103
9.31,211
9.31,50
9.32,211
9.33,103
9.31,50
9.33,49
9.32,104
9.32,373
9.32,50
9.34,211
9.31,103
9.33,103
9.33,50
9.33,50
9.33,157
9.32,697
9.33,211
9.32,158
9.31,50
9.31,50
9.34,104
9.33,157
9.31,104
9.32,157
9.34,482
9.31,158
9.33,158
9.33,50
9.33,50
9.34,158
9.33,50
9.34,697
9.33,50
9.33,320
9.32,103
9.32,104
9.33,157
9.30,50
9.31,374
9.31,320
9.32,49
9.31,104
9.33,49
9.32,50
9.32,104
9.32,319
9.30,50
9.34,374
9.32,158
9.32,374
9.31,104
9.32,49
9.32,104
9.33,49
9.33,158
9.28,428
9.33,374
9.33,157
9.32,104
9.32,158
9.31,104
9.33,103
9.32,50
9.32,211
9.34,320
9.31,157
9.33,212
9.32,50
9.34,374
9.33,265
9.31,50
9.32,212
9.32,158
9.32,481
9.33,212
9.32,50
9.32,373
9.35,158
9.33,482
9.34,212
9.30,49
9.32,104
9.33,50
9.32,212
9.31,103
9.33,104
9.32,49
9.32,158
9.33,158
9.32,49
9.32,212
9.31,50
9.30,374
9.33,104
9.31,49
9.31,266
9.31,50
9.33,212
9.32,265
9.31,50
9.33,320
9.30,157
9.34,158
9.33,212
9.32,157
9.33,266
9.32,212
9.32,157
9.31,158
9.32,50
9.33,50
9.32,428
9.31,103
9.32,157
9.32,50
9.34,158
9.32,50
9.32,158
9.32,158
9.30,104
9.33,157
9.31,266
9.33,158
9.33,50
9.33,104
9.33,265
9.33,266
9.32,104
9.31,157
9.33,50
9.31,158
9.31,374
9.33,158
9.30,482
9.31,212
9.33,157
9.32,50
9.31,482
9.31,50
9.32,158
9.31,265
9.32,50
9.33,104
9.33,50
9.33,103
9.33,104
9.34,49
9.31,266
9.33,212
9.31,211
9.32,50
9.30,428
9.33,49
9.32,104
9.32,482
9.33,158
9.32,158
9.30,319
9.32,374
9.32,319
9.34,266
9.33,157
9.32,50
9.33,104
9.31,50
9.31,103
9.33,104
9.33,373
9.32,104
9.33,481
9.32,320
9.33,373
9.31,50
9.31,50
9.34,49
9.31,158
9.30,749
9.33,157
9.31,265
9.32,104
9.34,49
9.33,157
9.32,50
9.33,157
9.33,266
9.33,319
9.32,104
9.32,104
9.33,697
9.32,50
9.33,50
9.31,49
9.31,104
9.33,104
9.33,157
9.31,535
9.33,319
9.34,428
9.32,50
9.34,104
9.32,49
9.32,50
9.34,104
9.33,750
9.32,697
9.29,644
9.30,319
9.32,158
9.31,805
9.33,104
9.34,157
9.31,50
9.32,50
9.33,49
9.33,50
9.33,698
9.33,50
9.33,50
9.33,104
9.34,319
9.31,535
9.32,50
9.33,50
9.33,373
9.33,266
9.32,535
9.33,49
9.32,158
9.33,50
9.33,50
9.33,373
9.32,49
9.33,50
9.33,50
9.33,50
9.33,50
9.34,50
9.33,50
9.31,49
9.32,50
9.32,50
9.34,158
9.33,157
9.33,536
9.34,157
9.31,50
9.31,50
9.31,50
9.32,265
9.34,104
9.33,859
9.35,265
9.32,373
9.33,265
9.32,50
9.32,50
9.30,104
9.32,427
9.32,212
9.31,642
9.34,320
9.31,104
9.33,427
9.33,104
9.33,157
9.31,535
9.33,104
9.32,535
9.30,643
9.32,104
9.33,49
9.32,50
9.33,698
9.32,375
9.35,49
9.32,104
9.31,49
9.31,1239
9.33,50
9.31,104
9.33,49
9.31,50
9.33,104
9.33,698
9.32,50
9.33,1077
9.32,158
9.32,266
9.32,320
9.31,104
9.31,320
9.31,320
9.33,104
9.30,1077
9.33,50
9.35,104
9.36,265
9.33,320
9.32,50
9.31,645
