range,ranging_attempt_count,ranging_time_millisecond
0.94,1236,1272
0.94,536,552
0.94,103,107
1.04,374,386
1.04,428,441
1.00,265,274
1.08,482,497
1.01,212,219
0.93,49,52
1.00,374,386
0.96,158,164
0.92,49,52
0.99,50,53
0.93,105,109
1.19,966,994
1.04,50,53
0.76,480,495
0.71,49,52
0.70,158,164
0.58,157,163
0.54,265,274
0.57,480,495
0.45,50,53
0.26,265,274
0.26,157,163
0.42,50,53
0.71,212,219
0.53,265,274
0.28,481,496
0.49,50,53
0.37,212,219
0.40,1126,1159
0.25,212,219
0.46,426,439
0.57,50,53
0.94,373,385
1.75,481,496
1.20,265,274
1.15,212,219
1.18,481,496
1.17,265,274
1.21,157,163
1.10,535,551
1.11,50,53
1.07,480,495
1.17,212,219
1.38,157,163
1.44,50,53
2.16,50,53
2.13,50,53
2.13,50,53
2.06,211,218
2.19,265,274
2.18,212,219
1.98,642,661
1.93,49,52
2.06,50,53
2.12,50,53
2.73,50,53
2.21,212,219
2.20,49,52
2.38,212,219
2.28,157,163
2.47,265,274
2.31,212,219
2.41,696,717
2.08,912,939
1.92,211,218
1.76,265,274
1.70,50,53
1.69,212,219
1.13,696,717
0.90,373,385
0.68,642,661
0.70,50,53
0.53,265,274
0.58,265,274
0.75,751,773
1.16,49,52
1.04,212,219
0.81,49,52
0.74,158,164
0.75,535,551
0.54,157,163
0.30,481,496
0.38,49,52
0.41,158,164
0.57,589,607
0.63,103,107
0.67,50,53
0.90,750,772
0.95,265,274
1.66,696,717
1.67,212,219
1.63,265,274
1.65,319,329
1.87,426,439
1.91,158,164
1.95,49,52
1.96,212,219
1.52,911,938
1.50,158,164
1.57,50,53
1.54,427,440
1.26,265,274
1.07,266,275
0.96,319,329
0.80,375,386
0.63,158,163
0.78,157,162
0.65,158,163
1.02,374,385
1.25,319,329
1.43,158,163
1.56,157,162
1.80,1023,1051
1.69,158,163
1.69,50,53
1.68,158,163
1.68,50,53
2.01,591,608
1.98,320,330
1.98,158,163
1.88,158,163
1.79,158,163
1.73,212,219
1.72,50,53
1.71,50,53
1.66,50,53
1.80,320,330
1.87,213,220
1.84,158,163
1.85,50,53
1.82,49,52
1.81,50,53
1.67,213,220
1.59,158,163
1.50,212,219
1.40,212,219
1.33,483,497
1.33,321,331
1.27,50,53
1.35,50,53
1.39,50,53
1.09,320,330
1.37,374,385
1.39,158,163
1.29,644,662
1.23,321,331
2.19,374,385
2.24,158,163
2.01,320,330
1.80,158,163
2.09,50,53
2.20,158,163
2.21,50,53
1.63,320,330
1.69,50,53
1.66,429,441
1.73,158,163
1.77,104,108
1.80,157,162
1.78,158,163
1.73,1024,1052
1.79,320,330
1.77,50,53
1.75,50,53
1.74,320,330
1.77,50,53
1.74,321,331
1.72,753,774
1.69,50,53
1.63,212,219
1.58,50,53
1.61,50,53
1.30,320,330
1.56,50,53
1.23,428,440
1.16,50,53
1.14,158,163
1.13,50,53
1.05,158,163
0.95,375,386
0.97,49,52
0.99,158,163
1.16,428,440
1.16,50,53
1.40,591,608
1.57,320,330
1.42,50,53
1.65,429,441
1.63,49,52
1.58,50,53
1.89,429,441
2.30,212,219
2.14,50,53
2.03,50,53
1.99,158,163
2.00,50,53
1.83,158,163
1.79,50,53
1.79,49,52
1.52,429,441
1.31,212,219
1.23,158,163
1.21,50,53
0.85,591,608
0.86,158,163
0.81,212,219
0.78,429,441
1.05,320,330
1.37,158,163
0.85,50,53
0.98,374,385
1.18,320,330
1.32,158,163
2.44,212,219
1.35,50,53
1.42,482,496
1.19,700,719
1.34,157,162
1.43,50,53
1.83,212,219
1.17,754,775
1.17,50,53
1.06,482,496
1.39,321,331
1.35,158,163
1.47,50,53
1.29,482,496
1.05,321,331
0.90,158,163
0.95,158,163
1.23,428,440
1.27,158,163
0.91,807,829
1.03,374,385
1.02,49,52
1.08,159,164
1.02,428,440
0.99,374,385
0.96,49,52
0.95,50,53
1.00,645,663
0.98,157,162
1.32,320,330
1.35,158,163
1.22,591,608
0.94,266,274
0.99,158,163
0.99,212,219
1.16,212,219
1.59,429,441
1.45,211,218
2.20,159,164
1.89,49,52
2.26,375,386
2.52,644,662
1.40,483,497
1.31,591,608
1.22,158,163
1.12,50,53
1.09,483,497
1.06,591,608
1.17,158,163
1.30,49,52
1.60,50,53
1.20,645,663
1.10,158,163
1.04,157,162
1.23,158,163
1.22,319,329
1.27,481,495
1.23,157,162
1.26,50,53
1.27,157,162
1.22,158,163
1.19,427,439
1.10,373,384
1.24,211,218
1.20,320,330
1.17,158,163
1.22,157,162
1.30,158,163
1.15,49,52
1.92,482,496
2.00,158,163
1.17,158,163
1.08,320,330
1.19,49,52
1.24,50,53
1.19,212,219
1.24,158,163
1.17,50,53
1.25,428,440
2.49,643,661
2.80,50,53
1.31,212,219
1.24,212,219
1.14,50,53
1.19,212,219
1.25,50,53
2.07,50,53
2.33,428,440
2.38,50,53
2.37,50,53
1.21,211,218
1.24,159,164
1.18,49,52
2.22,212,219
2.59,104,108
2.48,49,52
2.51,50,53
2.50,50,53
2.51,158,163
2.39,49,52
2.50,50,53
2.58,50,53
1.46,50,53
2.52,212,219
2.50,212,219
2.53,158,164
