range,ranging_attempt_count
1.09,536
1.09,50
1.05,482
1.05,49
1.05,50
1.03,50
0.93,212
0.90,50
0.74,50
1.11,373
1.10,49
0.96,212
1.04,265
1.03,50
1.07,266
1.15,428
1.06,427
0.84,481
0.81,211
0.89,49
0.90,158
0.83,266
0.89,50
0.77,266
0.90,319
0.99,428
0.95,49
0.87,1179
1.09,157
1.07,49
0.78,50
0.75,50
0.58,265
0.66,372
0.67,49
1.01,104
0.39,157
0.75,158
0.78,49
0.82,50
0.76,265
0.81,266
0.64,158
0.65,50
0.87,427
0.69,319
0.54,157
0.63,427
0.58,49
0.48,965
0.37,1181
0.43,319
0.37,264
0.36,320
0.61,426
0.63,50
0.40,481
0.44,49
0.44,50
0.47,265
0.63,1019
0.65,50
0.63,50
0.64,157
0.58,373
0.64,157
0.68,266
0.65,50
0.63,319
0.84,965
0.71,319
0.65,588
0.69,50
0.66,50
0.70,480
0.73,319
0.69,157
0.69,158
0.70,50
0.74,49
0.68,320
0.71,157
0.67,158
0.69,50
0.71,49
0.70,266
0.73,319
0.71,50
0.71,588
0.72,49
0.67,965
0.70,266
0.70,50
0.71,50
0.72,50
0.72,157
0.72,1020
0.72,157
0.70,50
0.73,50
0.72,50
0.72,426
0.69,642
0.69,265
0.69,319
0.72,588
0.70,426
0.69,158
0.71,319
0.68,49
0.69,588
0.72,265
0.69,50
0.66,265
0.67,266
0.67,535
0.67,426
0.63,265
0.67,50
0.68,158
0.67,534
0.70,265
0.71,50
0.68,50
0.64,265
0.62,212
0.61,157
0.60,50
0.61,482
0.61,49
0.53,481
0.59,157
0.53,428
0.44,535
0.45,50
0.48,319
0.43,481
0.43,50
0.41,158
0.43,535
0.45,373
0.50,265
0.46,859
0.47,428
0.49,319
0.49,50
0.54,157
0.48,158
0.46,320
0.50,319
0.45,50
0.50,50
0.55,320
0.44,481
0.54,642
0.37,319
0.40,158
0.38,158
0.36,211
0.44,266
0.48,859
0.59,158
0.58,319
0.52,158
0.47,50
0.44,158
0.50,158
0.65,50
0.54,49
0.68,158
0.74,51
0.72,49
1.04,320
1.20,158
1.78,643
1.80,158
2.00,751
2.08,535
2.04,158
2.00,50
1.91,50
1.87,50
1.81,211
1.77,481
1.67,373
1.70,211
1.73,481
1.80,50
1.52,697
1.51,158
1.51,104
1.58,158
1.69,104
1.72,373
1.69,50
1.72,50
1.67,104
1.73,157
1.71,536
1.72,266
1.70,536
1.70,213
1.69,49
1.69,158
1.72,50
1.71,50
1.75,374
1.74,157
1.79,50
1.85,158
1.79,212
1.72,266
1.70,320
1.75,103
1.74,49
1.73,320
1.75,320
1.67,103
1.64,103
1.72,212
1.77,49
1.84,158
1.74,50
1.73,158
